FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
2019-12-19-11:01:28 ; Zapallo ; Video
2019-12-19-11:01:41 ; Zapallo ; Enciclopedia
2019-12-19-11:01:52 ; Zapallo ; Diccionario
2019-12-19-11:02:01 ; Zapallo ; Traductor
2019-12-19-11:02:12 ; Zapallo ; Diccionario
FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
2019-12-26-11:45:11 ; Mangha ,

 ; Enciclopedia
2019-12-26-11:45:22 ; nombre r

 ; Enciclopedia
2019-12-26-11:45:29 ; acordarme, i

 ; Enciclopedia
2019-12-26-11:45:34 ; hidaIgo t

 ; Enciclopedia
2019-12-26-11:45:46 ; Mancha, I

 ; Enciclopedia
2019-12-26-11:46:04 ; f lugar

 ; Enciclopedia
2019-12-26-11:46:09 ; f lugar

 ; Video
2019-12-26-11:46:26 ; Mancha, I

 ; Enciclopedia
2019-12-26-11:46:34 ; ast'mero

 ; Enciclopedia
2019-12-26-11:46:42 ; astillero

 ; Enciclopedia
2019-12-26-11:46:53 ; tiempo

 ; Enciclopedia
2019-12-26-11:47:22 ; Mancha,

 ; Enciclopedia
2019-12-26-11:47:57 ; Mancha

 ; Enciclopedia
2019-12-26-11:48:16 ; Mancha

 ; Traductor
2019-12-26-11:48:25 ; Mancha

 ; Enciclopedia
2019-12-26-11:48:27 ; Mancha

 ; Diccionario
FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
2019-12-26-13:33:12 ; cuyo ; Enciclopedia
2019-12-26-13:33:20 ; cuyo ; Diccionario
2019-12-26-13:33:30 ; cuyo ; Traductor
2019-12-26-13:33:40 ; cuyo ; Video
2019-12-26-13:35:54 ; lugar ; Enciclopedia
2019-12-26-13:36:02 ; lugar ; Video
2019-12-26-13:36:11 ; lugar ; Diccionario
2019-12-26-13:36:26 ; lugar ; Traductor
2019-12-26-13:36:48 ; lugar ; Enciclopedia
FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
2019-12-26-13:45:31 ; /m/02csf ; Imagen
2019-12-26-13:47:24 ; Wallpaper ; Imagen
2019-12-26-13:48:42 ; Shoe ; Imagen
2019-12-26-13:49:16 ; Don Quixote ; Imagen
2019-12-26-13:50:30 ; Body piercing jewellery ; Imagen
2019-12-26-13:51:07 ; Don Quixote ; Imagen
2019-12-26-13:52:32 ; Don Quixote ; Imagen
2019-12-26-13:53:31 ; /m/02csf ; Imagen
2019-12-26-13:53:48 ; /m/02csf ; Imagen
2019-12-26-13:53:56 ; /m/02csf ; Imagen
2019-12-26-13:54:28 ; Product design ; Imagen
2019-12-26-14:11:06 ; Body piercing jewellery ; Imagen
2019-12-26-14:11:11 ; Body piercing jewellery ; Imagen
2019-12-26-14:11:15 ; Body piercing jewellery ; Imagen
2019-12-26-14:11:21 ; Body piercing jewellery ; Imagen
2019-12-26-14:11:37 ; Don Quixote ; Imagen
FECHA Y HORA ; PALABRA BUSCADA ; API UTILIZADA
